Date,High,Low,Open,Close,Volume,Adj Close,Price
2021-02-10,98821.3984375,93885.359375,93885.359375,98619.921875,9006186.0,98573.875,1
2021-02-15,101742.71875,99123.6015625,100533.8984375,101138.3125,5224321.0,101091.0859375,1
2021-02-16,104563.3125,100634.6328125,101541.25,103555.9609375,5340964.0,103507.609375,0
2021-02-17,103757.4296875,101339.78125,103757.4296875,102548.6015625,2792326.0,102500.71875,0
2021-02-18,104160.3671875,100936.8359375,101944.1953125,100936.8359375,2317567.0,100889.703125,1
2021-02-19,101944.1953125,98720.6640625,100130.953125,101541.25,3452928.0,101493.8359375,0
2021-02-22,102750.078125,98720.6640625,101742.71875,98821.3984375,3181568.0,98775.2578125,0
2021-02-23,99224.3359375,96101.5390625,97008.15625,98116.25,3302797.0,98070.4375,0
2021-02-24,99224.3359375,95194.921875,98116.25,95396.390625,3311691.0,95351.84375,1
2021-02-25,97612.5703125,95396.390625,96303.015625,97612.5703125,2792211.0,97566.9921875,1
2021-02-26,101138.3125,96806.6875,100231.6875,98317.71875,8027349.0,98271.8125,1
2021-03-02,101541.25,98720.6640625,100533.8984375,99022.8671875,4576515.0,98976.6328125,1
2021-03-03,99728.015625,98317.71875,98821.3984375,99425.8046875,2622321.0,99379.375,0
2021-03-04,98720.6640625,96907.421875,98216.984375,97108.8984375,3449086.0,97063.5546875,0
2021-03-05,95497.1328125,93280.953125,94489.7734375,94892.71875,3537153.0,94848.40625,0
2021-03-08,95597.8671875,91467.7109375,95094.1875,91467.7109375,3382744.0,91425.0,0
2021-03-09,90964.0390625,87539.03125,90359.625,88848.59375,5304343.0,88807.109375,1
2021-03-10,93583.15625,90460.359375,91165.5078125,92676.5390625,4465507.0,92633.265625,1
2021-03-11,97612.5703125,92072.125,92777.2734375,96504.484375,4606579.0,96459.421875,1
2021-03-12,98720.6640625,96101.5390625,98519.1875,96907.421875,2159435.0,96862.171875,0
2021-03-15,97108.8984375,95094.1875,96705.953125,96504.484375,1717276.0,96459.421875,0
2021-03-16,97713.3046875,96303.015625,96907.421875,96504.484375,1344378.0,96459.421875,1
2021-03-17,98922.1328125,96303.015625,96504.484375,97713.3046875,2005020.0,97667.6796875,1
2021-03-18,101541.25,97914.78125,98418.453125,100332.4296875,3830318.0,100285.578125,0
2021-03-19,100130.953125,97511.8359375,98418.453125,99224.3359375,2566035.0,99178.0,1
2021-03-22,100030.21875,98317.71875,99325.0703125,99526.546875,1563676.0,99480.0703125,0
2021-03-23,101339.78125,97814.0390625,99929.484375,98821.3984375,1885951.0,98775.2578125,1
2021-03-24,99123.6015625,97108.8984375,98015.515625,99123.6015625,1432282.0,99077.3203125,0
2021-03-25,98922.1328125,97108.8984375,98720.6640625,97713.3046875,1928473.0,97667.6796875,1
2021-03-26,99728.015625,97914.78125,98317.71875,99728.015625,1908699.0,99681.4453125,0
2021-03-29,100030.21875,97713.3046875,99929.484375,98216.984375,1732822.0,98171.125,1
2021-03-30,100130.953125,98619.921875,98720.6640625,99425.8046875,1544010.0,99379.375,1
2021-03-31,101742.71875,98922.1328125,99526.546875,100332.4296875,2496819.0,100285.578125,1
2021-04-01,101541.25,99123.6015625,100735.3671875,100533.8984375,2047061.0,100486.953125,1
2021-04-02,102347.1328125,100533.8984375,102347.1328125,100936.8359375,1482304.0,100889.703125,1
2021-04-05,101742.71875,100735.3671875,101339.78125,101138.3125,1540670.0,101091.0859375,1
2021-04-06,109801.5546875,101742.71875,101944.1953125,109600.078125,8561829.0,109548.8984375,0
2021-04-07,109600.078125,105973.609375,109600.078125,109197.140625,4074517.0,109146.1484375,1
2021-04-08,113025.0859375,107585.375,108592.7265625,110405.9609375,4529263.0,110354.40625,1
2021-04-09,113025.0859375,111010.375,111614.7890625,112420.671875,3915402.0,112368.1796875,0
2021-04-12,112420.671875,112420.671875,112420.671875,112420.671875,0.0,112368.1796875,0
2021-04-13,112420.671875,112420.671875,112420.671875,112420.671875,0.0,112368.1796875,0
2021-04-14,112420.671875,112420.671875,112420.671875,112420.671875,0.0,112368.1796875,1
2021-04-15,133474.359375,118867.734375,121386.1171875,121386.1171875,16990075.0,121329.4375,0
2021-04-16,121386.1171875,116349.3515625,116349.3515625,119875.0859375,13609475.0,119819.109375,0
2021-04-19,122897.1484375,118364.0546875,120882.4453125,119875.0859375,5401968.0,119819.109375,1
2021-04-20,121889.796875,118867.734375,119875.0859375,120378.765625,2930623.0,120322.5546875,0
2021-04-21,120378.765625,117860.3828125,120378.765625,118867.734375,4429066.0,118812.2265625,0
2021-04-22,120378.765625,118364.0546875,118867.734375,118364.0546875,2262541.0,118308.7890625,0
2021-04-23,119371.4140625,115342.0,117356.703125,118364.0546875,2455661.0,118308.7890625,1
2021-04-26,118867.734375,118364.0546875,118867.734375,118867.734375,1716832.0,118812.2265625,1
2021-04-27,125415.53125,119371.4140625,119371.4140625,122393.46875,5293616.0,122336.3203125,0
2021-04-28,122897.1484375,119875.0859375,122393.46875,120378.765625,2259655.0,120322.5546875,0
2021-04-29,121386.1171875,116349.3515625,120882.4453125,117860.3828125,3420310.0,117805.3515625,0
2021-04-30,117860.3828125,113830.96875,117860.3828125,114334.640625,4373526.0,114281.25,1
2021-05-03,116853.0234375,110808.90625,113327.2890625,115342.0,2811943.0,115288.140625,1
2021-05-04,116853.0234375,112823.609375,114334.640625,116349.3515625,2212198.0,116295.0234375,0
2021-05-06,118364.0546875,114334.640625,115845.671875,115845.671875,3210812.0,115791.578125,0
2021-05-07,117860.3828125,114838.3203125,116349.3515625,115342.0,2025945.0,115288.140625,1
2021-05-10,117356.703125,115342.0,116349.3515625,116853.0234375,1885131.0,116798.4609375,0
2021-05-11,117860.3828125,115342.0,115845.671875,115342.0,1861908.0,115288.140625,0
2021-05-12,116349.3515625,112823.609375,115845.671875,113830.96875,2539805.0,113777.8125,0
2021-05-13,111816.2578125,108794.1953125,109801.5546875,110305.2265625,4170819.0,110253.71875,0
2021-05-14,112319.9375,108794.1953125,110305.2265625,109801.5546875,2259466.0,109750.28125,1
2021-05-17,111816.2578125,109801.5546875,109801.5546875,111312.578125,1644361.0,111260.6015625,1
2021-05-18,115342.0,111816.2578125,112319.9375,113830.96875,1574125.0,113777.8125,1
2021-05-20,116349.3515625,112823.609375,113327.2890625,114334.640625,2119514.0,114281.25,1
2021-05-21,119875.0859375,115342.0,116853.0234375,117860.3828125,2996512.0,117805.3515625,0
2021-05-24,118867.734375,116349.3515625,117356.703125,117356.703125,1702786.0,117301.90625,1
2021-05-25,118867.734375,116853.0234375,117860.3828125,118867.734375,1764028.0,118812.2265625,1
2021-05-26,120882.4453125,118364.0546875,119371.4140625,120378.765625,2291553.0,120322.5546875,1
2021-05-27,125919.2109375,120378.765625,120882.4453125,125919.2109375,7344721.0,125860.4140625,0
2021-05-28,126422.890625,121386.1171875,125919.2109375,122897.1484375,3658913.0,122839.765625,1
2021-05-31,123904.5,121386.1171875,122897.1484375,123904.5,2282572.0,123846.640625,1
2021-06-01,127933.9140625,123904.5,124408.1796875,127933.9140625,3547719.0,127874.1796875,0
2021-06-02,130452.3046875,126926.5625,128941.2734375,127933.9140625,2578484.0,127874.1796875,0
2021-06-03,129444.9453125,126926.5625,128437.59375,127430.2421875,1724782.0,127370.7421875,0
2021-06-04,126926.5625,123904.5,126926.5625,124911.859375,2648775.0,124853.53125,1
2021-06-07,127933.9140625,125919.2109375,125919.2109375,126926.5625,1891290.0,126867.296875,1
2021-06-08,129444.9453125,127430.2421875,127933.9140625,129444.9453125,2231959.0,129384.5,1
2021-06-09,130955.9765625,129444.9453125,129444.9453125,129948.625,1922608.0,129887.9453125,1
2021-06-10,135992.75,130452.3046875,130955.9765625,134481.71875,5523393.0,134418.921875,1
2021-06-11,137503.78125,132970.6875,135489.0625,136496.421875,3647576.0,136432.6875,1
2021-06-14,144051.578125,137000.09375,137000.09375,143547.90625,6194839.0,143480.875,1
2021-06-15,145562.609375,141533.1875,144555.25,145562.609375,4914191.0,145494.640625,0
2021-06-16,147073.640625,143547.90625,145058.9375,144051.578125,4959799.0,143984.3125,1
2021-06-17,150599.375,141533.1875,143044.21875,149088.34375,5369404.0,149018.734375,1
2021-06-18,158658.203125,150599.375,151103.046875,156139.828125,7650088.0,156066.921875,0
2021-06-21,160672.90625,153117.765625,156643.5,156139.828125,8264175.0,156066.921875,1
2021-06-22,160169.234375,156643.5,159161.875,160169.234375,4628009.0,160094.4375,1
2021-06-23,171250.125,162183.9375,163694.96875,170746.453125,9012521.0,170666.71875,0
2021-06-24,174272.1875,156643.5,173264.828125,158154.53125,18273815.0,158080.6875,0
2021-06-25,160672.90625,151606.734375,156139.828125,155636.140625,12181864.0,155563.46875,1
2021-06-28,158658.203125,155132.46875,155636.140625,156139.828125,5103876.0,156066.921875,1
2021-06-29,159161.875,155636.140625,157147.171875,159161.875,3909790.0,159087.5625,1
2021-06-30,166213.359375,158658.203125,160169.234375,164198.65625,7252259.0,164121.984375,0
2021-07-01,166717.03125,160672.90625,165206.0,161176.59375,4596478.0,161101.328125,0
2021-07-02,162687.625,157147.171875,159665.5625,160672.90625,4375526.0,160597.875,0
2021-07-05,163191.296875,157650.84375,161680.265625,158154.53125,4474066.0,158080.6875,1
2021-07-06,160169.234375,158154.53125,158658.203125,158658.203125,2030234.0,158584.125,1
2021-07-07,164702.328125,159665.5625,159665.5625,162183.9375,4381176.0,162108.203125,1
2021-07-08,165709.6875,162183.9375,162687.625,164198.65625,4091171.0,164121.984375,0
2021-07-09,163191.296875,159665.5625,162687.625,161680.265625,3767820.0,161604.765625,1
2021-07-12,163694.96875,159161.875,162183.9375,163191.296875,3224353.0,163115.09375,0
2021-07-13,164702.328125,161680.265625,163694.96875,162183.9375,3831559.0,162108.203125,1
2021-07-14,165709.6875,162183.9375,162687.625,163191.296875,3327549.0,163115.09375,0
2021-07-15,163191.296875,159665.5625,163191.296875,160672.90625,3793943.0,160597.875,0
2021-07-16,160672.90625,158154.53125,159665.5625,158154.53125,3398198.0,158080.6875,0
2021-07-19,156643.5,155132.46875,156643.5,155132.46875,3450418.0,155060.03125,0
2021-07-20,154125.109375,150095.703125,152614.078125,153117.765625,6604290.0,153046.265625,0
2021-07-21,156643.5,145562.609375,154125.109375,146066.28125,10333844.0,145998.078125,1
2021-07-22,149088.34375,143547.90625,145562.609375,148584.671875,5717225.0,148515.296875,1
2021-07-23,154628.796875,148584.671875,149592.015625,150599.375,5211581.0,150529.046875,0
2021-07-26,154125.109375,147577.3125,152614.078125,148584.671875,4042173.0,148515.296875,1
2021-07-27,150095.703125,146569.953125,148584.671875,149088.34375,3333183.0,149018.734375,0
2021-07-28,150599.375,147577.3125,148080.984375,149088.34375,2696983.0,149018.734375,1
2021-07-29,150095.703125,148584.671875,149592.015625,149592.015625,1753278.0,149522.171875,0
2021-07-30,150599.375,148080.984375,150095.703125,148080.984375,2042313.0,148011.84375,0
2021-08-02,149592.015625,146066.28125,148080.984375,147073.640625,2156260.0,147004.96875,0
2021-08-03,147577.3125,144051.578125,147073.640625,145058.9375,2677409.0,144991.203125,1
2021-08-04,151103.046875,145058.9375,145562.609375,150599.375,3113853.0,150529.046875,0
2021-08-05,152614.078125,149592.015625,151103.046875,150095.703125,2237632.0,150025.609375,0
2021-08-06,150599.375,146066.28125,150599.375,146569.953125,4125332.0,146501.515625,1
